exchanges,hours,last_exchange,members,offers,requests,timebank,timestamp
326,1282,31 weeks 7 hours ago,202,102,103,gwtb,2019-01-12 00:07:45
23,111,10 weeks 1 day ago,9,10,10,choptank,2019-01-12 00:07:45
none (start up),none (start up),none (start up),2,0,0,healthyoutcomeswin,2019-01-12 00:07:45
38,47,2 years 3 weeks ago,31,0,0,bc-historyofmoney,2019-01-12 00:07:45
none (start up),none (start up),none (start up),1,0,0,hopexchange,2019-01-12 00:07:45
49,106,1 year 35 weeks ago,42,3,3,hour4ourworld,2019-01-12 00:07:45
25,60,20 weeks 1 day ago,38,19,19,hourcommunityinterfaith,2019-01-12 00:07:45
113,114,2 weeks 2 days ago,47,9,9,isiinc,2019-01-12 00:07:45
16,49,18 weeks 4 days ago,66,8,8,jeffersoncommunity,2019-01-12 00:07:45
117,189,1 year 2 weeks ago,37,3,3,jerseyshore,2019-01-12 00:07:45
2160,11046,21 hours 16 min ago,118,77,80,kaitaia,2019-01-12 00:07:45
none (start up),none (start up),none (start up),3,0,0,kapiti50,2019-01-12 00:07:45
none (start up),none (start up),none (start up),1,0,0,klc,2019-01-12 00:07:45
1,2,3 years 23 weeks ago,4,0,0,khokha,2019-01-12 00:07:45
72,179,21 weeks 5 days ago,120,15,20,letsbmore,2019-01-12 00:07:45
none (start up),none (start up),none (start up),11,0,0,margination,2019-01-12 00:07:45
5,5,1 year 46 weeks ago,6,0,0,meadville,2019-01-12 00:07:45
1355,4283,19 hours 23 min ago,152,40,76,midcanterbury,2019-01-12 00:07:45
161,414,3 years 13 weeks ago,29,1,1,mk,2019-01-12 00:07:45
2,4,2 years 12 weeks ago,5,0,0,mttimeexchange,2019-01-12 00:07:45
117,371,14 weeks 6 days ago,67,10,5,murihiku,2019-01-12 00:07:45
none (start up),none (start up),none (start up),17,0,0,mwdi,2019-01-12 00:07:45
263,2245,3 weeks 2 days ago,465,18,9,nbnneighborhoodnetwork,2019-01-12 00:07:45
31,34,16 weeks 5 days ago,18,9,4,piedmont,2019-01-12 00:07:45
none (start up),none (start up),none (start up),3,0,0,theneighborhoodvillage,2019-01-12 00:07:45
53,152,2 years 38 weeks ago,17,0,0,nerd,2019-01-12 00:07:45
199,341,15 hours 35 min ago,127,35,28,nether-swarthmore,2019-01-12 00:07:45
778,2060,1 day 15 hours ago,145,64,58,nrv,2019-01-12 00:07:45
1216,2804,4 days 9 hours ago,362,156,156,nola,2019-01-12 00:07:45
none (start up),none (start up),none (start up),5,2,2,norman,2019-01-12 00:07:45
none (start up),none (start up),none (start up),3,0,0,ncc,2019-01-12 00:07:45
1599,4245,5 weeks 1 day ago,136,34,26,northwestnewjersey,2019-01-12 00:07:45
31,86,3 years 23 weeks ago,87,0,0,oahu,2019-01-12 00:07:45
60,106,7 weeks 5 days ago,40,37,25,ojai,2019-01-12 00:07:45
16444,49320,8 hours 34 min ago,162,201,203,orexchange,2019-01-12 00:07:45
2778,7396,6 weeks 6 days ago,74,7,8,otaki,2019-01-12 00:07:45
10,23,2 years 42 weeks ago,6,1,1,ourcommunity,2019-01-12 00:07:45
49,253,1 year 47 weeks ago,32,0,0,oscab,2019-01-12 00:07:45
160,231,1 year 37 weeks ago,44,14,14,washingtoncountywi,2019-01-12 00:07:45
5,8,3 years 39 weeks ago,19,18,18,pay4wardbank,2019-01-12 00:07:45
11890,40956,1 day 12 hours ago,167,51,66,patb,2019-01-12 00:07:45
116,234,7 weeks 3 days ago,23,3,5,porirua,2019-01-12 00:07:45
none (start up),none (start up),none (start up),2,0,0,pridestl,2019-01-12 00:07:45
363,864,1 year 49 weeks ago,77,5,8,projectbunbury,2019-01-12 00:07:45
106,342,1 week 6 days ago,31,41,44,reciprocity,2019-01-12 00:07:45
3,7,1 year 32 weeks ago,12,0,0,rvtb,2019-01-12 00:07:45
none (start up),none (start up),none (start up),5,3,3,scouts,2019-01-12 00:07:45
1922,4451,5 hours 3 min ago,216,123,125,sebastopolarea,2019-01-12 00:07:45
5161,16941,2 years 27 weeks ago,157,0,0,sobrantepark,2019-01-12 00:07:45
80,335,4 hours 26 min ago,17,15,6,springhillfl,2019-01-12 00:07:45
2,29856,25 weeks 6 days ago,9,2,2,spurt,2019-01-12 00:07:45
3189,7558,5 hours 59 min ago,162,177,201,stpete,2019-01-12 00:07:45
2,7,15 weeks 6 days ago,125,5,4,startribehours,2019-01-12 00:07:45
1961,4756,6 days 12 hours ago,50,105,93,swel,2019-01-12 00:07:45
29,149,35 weeks 3 days ago,28,16,9,takomatime,2019-01-12 00:07:45
12,52,44 weeks 4 days ago,12,17,16,taneycounty,2019-01-12 00:07:45
2482,5657,1 day 5 hours ago,287,58,60,taranaki,2019-01-12 00:07:45
1,2,12 weeks 2 days ago,19,1,2,thecommunityproject,2019-01-23 09:39:33
2991,6035,14 hours 3 min ago,266,46,35,huttsouth,2019-01-23 09:39:33
11923,153370,1 day 18 hours ago,860,16,24,lyttelton,2019-01-23 09:39:33
1,2,1 year 52 weeks ago,10,1,1,sanctuaryseniorvillage,2019-01-23 09:39:33
4512,7863,6 weeks 1 day ago,65,161,160,tierrasanta,2019-01-23 09:39:33
3,3,3 years 25 weeks ago,18,0,0,galesburgil,2019-01-23 09:39:33
446,1950,1 year 12 weeks ago,209,2,2,westmilford,2019-01-23 09:39:33
468,900,1 day 18 hours ago,119,83,81,stannsbay,2019-01-23 09:39:33
21,42,11 weeks 2 days ago,16,1,4,kaikoura,2019-01-23 09:39:33
4539,28675,2 days 16 hours ago,176,79,84,mainetime,2019-01-23 09:39:33
26,647,12 weeks 2 days ago,24,3,3,newzealand,2019-01-23 09:39:33
95,61,2 years 2 weeks ago,79,1,1,tbfredericton,2019-01-23 09:39:33
none (start up),none (start up),none (start up),2,0,0,tbhawaii,2019-01-23 09:39:33
3434,14912,1 day 19 hours ago,340,19,17,hurunui,2019-01-23 09:39:33
441,2953,13 weeks 2 days ago,165,31,32,mcs1stopindy,2019-01-23 09:39:33
730,1995,4 weeks 1 day ago,87,42,44,manawatu,2019-01-23 09:39:33
3915,16326,29 weeks 19 hours ago,349,10,9,media,2019-01-23 09:39:33
722,3117,1 week 14 hours ago,9,47,48,nb,2019-01-23 09:39:33
2234,5063,7 hours 11 min ago,114,38,30,raglan,2019-01-23 09:39:33
1696,8175,4 days 10 hours ago,73,27,24,upperhutt,2019-01-23 09:39:33
30,87,2 days 15 hours ago,23,7,7,waimakariri,2019-01-23 09:39:33
none (start up),none (start up),none (start up),2,0,0,tb13069,2019-01-23 09:39:33
2486,5571,6 days 17 hours ago,184,31,25,tops,2019-01-23 09:39:33
9756,37459,13 hours 5 min ago,655,1,1,korea,2019-01-23 09:39:33
37,63,3 years 33 weeks ago,33,4,4,tlv,2019-01-23 09:39:33
316,1562,1 week 1 day ago,133,23,29,timeforall,2019-01-23 09:39:33
579,3717,1 year 32 weeks ago,96,4,4,timetradersnorth,2019-01-23 09:39:33
19,170,2 weeks 6 days ago,52,3,6,togetherwecan,2019-01-23 09:39:33
136,317,24 weeks 1 day ago,41,15,15,tullyarea,2019-01-23 09:39:33
none (start up),none (start up),none (start up),2,0,0,ubuntu,2019-01-23 09:39:33
1995,7466,13 hours 44 min ago,329,5,2,udc,2019-01-23 09:39:33
188,683,8 hours 33 min ago,94,13,19,unityexchange,2019-01-23 09:39:33
none (start up),none (start up),none (start up),2,0,0,uva,2019-01-23 09:39:33
112,217,3 years 5 days ago,36,0,0,villagece,2019-01-23 09:39:33
1913,4686,20 weeks 1 day ago,245,12,10,waikato,2019-01-23 09:39:33
159,324,1 week 1 day ago,62,67,66,wairarapa,2019-01-23 09:39:33
227,372,48 weeks 4 days ago,44,2,3,waitaki,2019-01-23 09:39:33
57,920,28 weeks 2 days ago,55,3,3,wanaka,2019-01-23 09:39:33
8518,21887,1 day 7 hours ago,593,79,107,wellingtonsouth,2019-01-23 09:39:33
35,61,25 weeks 6 days ago,17,2,4,westprairievillage,2019-01-23 09:39:33
3436,9816,49 min 26 sec ago,405,60,81,westseattle,2019-01-23 09:39:33
1,1,1 year 31 weeks ago,10,0,0,wncw,2019-01-23 09:39:33
20,30,2 years 29 weeks ago,25,0,0,wecompassionatecommunity,2019-01-23 09:39:33
158,1058,1 week 19 hours ago,151,10,9,york,2019-01-23 09:39:33
1133,5998,1 day 7 hours ago,179,36,27,addington,2019-01-24 09:35:07
439,1375,2 years 41 weeks ago,207,0,0,aha,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,alticultura,2019-01-24 09:35:07
2,3,3 years 12 weeks ago,8,0,0,andersoncommunity,2019-01-24 09:35:07
1,5,1 year 30 weeks ago,8,4,4,ate,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,avl,2019-01-24 09:35:07
2179,4889,5 weeks 4 days ago,58,90,80,atx,2019-01-24 09:35:07
7,14,1 year 47 weeks ago,11,0,0,labodunautilus,2019-01-24 09:35:07
74,384,5 weeks 2 days ago,37,2,2,blackhills,2019-01-24 09:35:07
200,1142,18 hours 21 min ago,176,61,51,ujimaboston,2019-01-24 09:35:07
17405,52374,6 hours 48 min ago,170,161,195,brattleboro,2019-01-24 09:35:07
1047,6076,15 hours 1 min ago,174,24,32,bridge2rocks,2019-01-24 09:35:07
10983,26275,13 hours 9 min ago,124,106,118,capeann,2019-01-24 09:35:07
396,913,4 days 18 hours ago,50,11,4,care,2019-01-24 09:35:07
5,6,1 year 7 weeks ago,2,0,0,engaging,2019-01-24 09:35:07
834,2044,2 days 21 hours ago,108,31,32,cris,2019-01-24 09:35:07
none (start up),none (start up),none (start up),4,0,0,centraliowa,2019-01-24 09:35:07
56,102,6 weeks 18 hours ago,71,14,14,lincolnskillshare,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,nzcentralpermaculture,2019-01-24 09:35:07
none (start up),none (start up),none (start up),5,0,0,changexchange,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,circlenomic,2019-01-24 09:35:07
none (start up),none (start up),none (start up),8,4,4,citypark,2019-01-24 09:35:07
6307,14395,1 day 16 hours ago,284,122,116,columbia,2019-01-24 09:35:07
6,18,2 weeks 5 days ago,22,6,7,slocanvalley,2019-01-24 09:35:07
625,7712,3 years 38 weeks ago,453,10,9,manasota,2019-01-24 09:35:07
30191,209344,6 days 17 hours ago,225,6881,6857,tdn,2019-01-24 09:35:07
380,975,1 day 19 hours ago,18,80,76,cse,2019-01-24 09:35:07
1439,4889,4 days 17 hours ago,58,41,44,communityskillexchange,2019-01-24 09:35:07
68,115,18 hours 6 min ago,92,77,15,richmondcounty,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,northfrontenac,2019-01-24 09:35:07
5,22,3 years 20 weeks ago,11,0,0,katytx,2019-01-24 09:35:07
22497,68946,1 day 38 min ago,432,246,292,crookedriver,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,danvilledollars,2019-01-24 09:35:07
361,1080,7 weeks 1 day ago,219,42,38,dc,2019-01-24 09:35:07
405,1285,1 year 8 weeks ago,127,0,0,dhe,2019-01-24 09:35:07
4,5,1 year 25 weeks ago,52,1,1,denton,2019-01-24 09:35:07
644,5341,5 days 12 hours ago,100,33,34,dunedin,2019-01-24 09:35:07
none (start up),none (start up),none (start up),8,0,0,durham,2019-01-24 09:35:07
none (start up),none (start up),none (start up),4,0,0,eann,2019-01-24 09:35:07
227,811,1 week 9 hours ago,94,11,14,earn,2019-01-24 09:35:07
5646,19627,2 days 18 hours ago,192,33,32,eastbay,2019-01-24 09:35:07
10,119,2 years 29 weeks ago,6,0,0,fablabchch,2019-01-24 09:35:07
1,1,28 weeks 2 days ago,5,0,1,fairbanks,2019-01-24 09:35:07
3,12,32 weeks 1 day ago,33,1,1,farnorth,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,farmster,2019-01-24 09:35:07
1,1,2 years 18 weeks ago,6,0,0,flourish,2019-01-24 09:35:07
721,1599,2 weeks 3 days ago,91,46,49,frederick,2019-01-24 09:35:07
1,1,1 year 37 weeks ago,15,0,0,ghoodcalgary,2019-01-24 09:35:07
none (start up),none (start up),none (start up),1,0,0,karma,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,globetable,2019-01-24 09:35:07
21,51,1 week 2 days ago,24,11,5,goodneighborstb,2019-01-24 09:35:07
4,13,3 years 5 weeks ago,14,9,9,scgm,2019-01-24 09:35:07
519,1179,2 days 13 hours ago,52,34,36,greatbay,2019-01-24 09:35:07
10,25,3 years 5 weeks ago,8,0,0,gct,2019-01-24 09:35:07
59,99,46 weeks 2 days ago,50,12,12,greaterheights,2019-01-24 09:35:07
326,1282,32 weeks 5 days ago,202,102,103,gwtb,2019-01-24 09:35:07
23,111,12 weeks 5 min ago,9,10,10,choptank,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,healthyoutcomeswin,2019-01-24 09:35:07
38,47,2 years 5 weeks ago,31,0,0,bc-historyofmoney,2019-01-24 09:35:07
none (start up),none (start up),none (start up),1,0,0,hopexchange,2019-01-24 09:35:07
49,106,1 year 37 weeks ago,42,3,3,hour4ourworld,2019-01-24 09:35:07
25,60,21 weeks 6 days ago,38,19,19,hourcommunityinterfaith,2019-01-24 09:35:07
116,117,2 days 22 hours ago,50,9,9,isiinc,2019-01-24 09:35:07
16,49,20 weeks 2 days ago,66,8,8,jeffersoncommunity,2019-01-24 09:35:07
117,189,1 year 4 weeks ago,37,3,3,jerseyshore,2019-01-24 09:35:07
2186,11129,11 hours 33 min ago,119,77,85,kaitaia,2019-01-24 09:35:07
none (start up),none (start up),none (start up),3,0,0,kapiti50,2019-01-24 09:35:07
none (start up),none (start up),none (start up),1,0,0,klc,2019-01-24 09:35:07
1,2,3 years 25 weeks ago,4,0,0,khokha,2019-01-24 09:35:07
72,179,23 weeks 3 days ago,120,15,20,letsbmore,2019-01-24 09:35:07
none (start up),none (start up),none (start up),11,0,0,margination,2019-01-24 09:35:07
5,5,1 year 48 weeks ago,6,0,0,meadville,2019-01-24 09:35:07
1372,4314,5 hours 44 min ago,152,41,78,midcanterbury,2019-01-24 09:35:07
161,414,3 years 15 weeks ago,29,1,1,mk,2019-01-24 09:35:07
2,4,2 years 14 weeks ago,5,0,0,mttimeexchange,2019-01-24 09:35:07
117,371,16 weeks 4 days ago,67,10,5,murihiku,2019-01-24 09:35:07
none (start up),none (start up),none (start up),17,0,0,mwdi,2019-01-24 09:35:07
263,2245,5 weeks 19 hours ago,467,18,9,nbnneighborhoodnetwork,2019-01-24 09:35:07
31,34,18 weeks 3 days ago,18,9,4,piedmont,2019-01-24 09:35:07
none (start up),none (start up),none (start up),3,0,0,theneighborhoodvillage,2019-01-24 09:35:07
53,152,2 years 40 weeks ago,17,0,0,nerd,2019-01-24 09:35:07
201,344,5 days 21 hours ago,127,38,29,nether-swarthmore,2019-01-24 09:35:07
782,2069,6 days 15 hours ago,145,65,59,nrv,2019-01-24 09:35:07
1216,2804,2 weeks 2 days ago,362,156,156,nola,2019-01-24 09:35:07
none (start up),none (start up),none (start up),5,2,2,norman,2019-01-24 09:35:07
none (start up),none (start up),none (start up),3,0,0,ncc,2019-01-24 09:35:07
1613,4291,1 week 10 hours ago,137,35,26,northwestnewjersey,2019-01-24 09:35:07
31,86,3 years 24 weeks ago,87,0,0,oahu,2019-01-24 09:35:07
60,106,9 weeks 3 days ago,40,33,24,ojai,2019-01-24 09:35:07
16451,49340,1 day 14 hours ago,164,198,196,orexchange,2019-01-24 09:35:07
2778,7396,8 weeks 5 days ago,74,8,8,otaki,2019-01-24 09:35:07
10,23,2 years 44 weeks ago,6,1,1,ourcommunity,2019-01-24 09:35:07
49,253,1 year 48 weeks ago,32,0,0,oscab,2019-01-24 09:35:07
160,231,1 year 39 weeks ago,44,14,14,washingtoncountywi,2019-01-24 09:35:07
5,8,3 years 41 weeks ago,19,18,18,pay4wardbank,2019-01-24 09:35:07
11941,41237,12 hours 39 min ago,164,50,68,patb,2019-01-24 09:35:07
177,406,1 day 15 hours ago,24,5,8,porirua,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,pridestl,2019-01-24 09:35:07
363,864,1 year 51 weeks ago,77,5,8,projectbunbury,2019-01-24 09:35:07
107,344,1 week 2 days ago,32,42,45,reciprocity,2019-01-24 09:35:07
3,7,1 year 34 weeks ago,12,0,0,rvtb,2019-01-24 09:35:07
none (start up),none (start up),none (start up),5,3,3,scouts,2019-01-24 09:35:07
1959,4531,5 hours 21 min ago,217,120,125,sebastopolarea,2019-01-24 09:35:07
5161,16941,2 years 29 weeks ago,157,0,0,sobrantepark,2019-01-24 09:35:07
120,479,7 hours 54 min ago,23,15,8,springhillfl,2019-01-24 09:35:07
2,29856,27 weeks 5 days ago,9,2,2,spurt,2019-01-24 09:35:07
3277,7751,13 hours 20 min ago,166,179,210,stpete,2019-01-24 09:35:07
2,7,17 weeks 4 days ago,126,5,4,startribehours,2019-01-24 09:35:07
1965,4761,1 day 9 hours ago,51,105,93,swel,2019-01-24 09:35:07
29,149,37 weeks 1 day ago,28,16,9,takomatime,2019-01-24 09:35:07
12,52,46 weeks 2 days ago,12,17,16,taneycounty,2019-01-24 09:35:07
2525,5740,5 hours 32 min ago,292,62,64,taranaki,2019-01-24 09:35:07
1,2,12 weeks 3 days ago,19,1,2,thecommunityproject,2019-01-24 09:35:07
3000,6083,6 hours 45 min ago,266,47,35,huttsouth,2019-01-24 09:35:07
11923,153370,2 days 18 hours ago,860,15,24,lyttelton,2019-01-24 09:35:07
1,2,2 years 13 hours ago,10,1,1,sanctuaryseniorvillage,2019-01-24 09:35:07
4512,7863,6 weeks 2 days ago,65,161,160,tierrasanta,2019-01-24 09:35:07
3,3,3 years 25 weeks ago,18,0,0,galesburgil,2019-01-24 09:35:07
446,1950,1 year 12 weeks ago,209,2,2,westmilford,2019-01-24 09:35:07
468,900,2 days 18 hours ago,119,83,81,stannsbay,2019-01-24 09:35:07
21,42,11 weeks 3 days ago,16,1,4,kaikoura,2019-01-24 09:35:07
4539,28675,3 days 16 hours ago,176,79,84,mainetime,2019-01-24 09:35:07
26,647,12 weeks 3 days ago,24,3,3,newzealand,2019-01-24 09:35:07
95,61,2 years 2 weeks ago,79,1,1,tbfredericton,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,tbhawaii,2019-01-24 09:35:07
3434,14912,2 days 19 hours ago,340,19,16,hurunui,2019-01-24 09:35:07
441,2953,13 weeks 3 days ago,165,31,32,mcs1stopindy,2019-01-24 09:35:07
730,1995,4 weeks 2 days ago,87,42,44,manawatu,2019-01-24 09:35:07
3915,16326,29 weeks 1 day ago,349,10,9,media,2019-01-24 09:35:07
722,3117,1 week 1 day ago,9,47,48,nb,2019-01-24 09:35:07
2237,5069,17 hours 16 min ago,114,38,30,raglan,2019-01-24 09:35:07
1696,8175,5 days 10 hours ago,73,27,25,upperhutt,2019-01-24 09:35:07
30,87,3 days 15 hours ago,23,7,7,waimakariri,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,tb13069,2019-01-24 09:35:07
2486,5571,1 week 17 hours ago,184,29,23,tops,2019-01-24 09:35:07
9756,37459,1 day 13 hours ago,655,1,1,korea,2019-01-24 09:35:07
37,63,3 years 33 weeks ago,33,4,4,tlv,2019-01-24 09:35:07
316,1562,1 week 2 days ago,133,23,29,timeforall,2019-01-24 09:35:07
579,3717,1 year 32 weeks ago,97,4,4,timetradersnorth,2019-01-24 09:35:07
19,170,3 weeks 8 hours ago,52,3,6,togetherwecan,2019-01-24 09:35:07
136,317,24 weeks 2 days ago,41,15,15,tullyarea,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,ubuntu,2019-01-24 09:35:07
1996,7444,29 sec ago,329,5,2,udc,2019-01-24 09:35:07
188,683,1 day 8 hours ago,94,13,19,unityexchange,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,uva,2019-01-24 09:35:07
112,217,3 years 6 days ago,36,0,0,villagece,2019-01-24 09:35:07
1913,4686,20 weeks 2 days ago,245,12,10,waikato,2019-01-24 09:35:07
159,324,1 week 2 days ago,62,67,66,wairarapa,2019-01-24 09:35:07
227,372,48 weeks 5 days ago,44,2,3,waitaki,2019-01-24 09:35:07
57,920,28 weeks 3 days ago,55,3,3,wanaka,2019-01-24 09:35:07
8519,21890,13 hours 52 min ago,594,79,108,wellingtonsouth,2019-01-24 09:35:07
35,61,26 weeks 21 hours ago,17,2,4,westprairievillage,2019-01-24 09:35:07
3437,9817,10 hours 16 min ago,405,59,81,westseattle,2019-01-24 09:35:07
1,1,1 year 31 weeks ago,10,0,0,wncw,2019-01-24 09:35:07
20,30,2 years 30 weeks ago,25,0,0,wecompassionatecommunity,2019-01-24 09:35:07
158,1058,1 week 1 day ago,151,10,9,york,2019-01-24 09:35:07
1133,5998,2 days 6 hours ago,179,36,29,addington,2019-01-25 09:21:37
439,1375,2 years 41 weeks ago,207,0,0,aha,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,alticultura,2019-01-25 09:21:37
2,3,3 years 12 weeks ago,8,0,0,andersoncommunity,2019-01-25 09:21:37
1,5,1 year 31 weeks ago,8,4,4,ate,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,avl,2019-01-25 09:21:37
2179,4889,5 weeks 5 days ago,58,90,80,atx,2019-01-25 09:21:37
7,14,1 year 47 weeks ago,11,0,0,labodunautilus,2019-01-25 09:21:37
74,384,5 weeks 3 days ago,37,2,2,blackhills,2019-01-25 09:21:37
201,1147,13 hours 32 min ago,177,62,51,ujimaboston,2019-01-25 09:21:37
17408,52384,10 hours 10 min ago,170,162,196,brattleboro,2019-01-25 09:21:37
1047,6076,1 day 14 hours ago,174,24,32,bridge2rocks,2019-01-25 09:21:37
10985,26278,17 hours 18 min ago,124,106,118,capeann,2019-01-25 09:21:37
396,913,5 days 18 hours ago,50,11,4,care,2019-01-25 09:21:37
5,6,1 year 7 weeks ago,2,0,0,engaging,2019-01-25 09:21:37
834,2044,3 days 20 hours ago,108,31,32,cris,2019-01-25 09:21:37
none (start up),none (start up),none (start up),4,0,0,centraliowa,2019-01-25 09:21:37
56,102,6 weeks 1 day ago,71,14,14,lincolnskillshare,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,nzcentralpermaculture,2019-01-25 09:21:37
none (start up),none (start up),none (start up),5,0,0,changexchange,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,circlenomic,2019-01-25 09:21:37
none (start up),none (start up),none (start up),8,4,4,citypark,2019-01-25 09:21:37
6307,14395,2 days 16 hours ago,284,123,116,columbia,2019-01-25 09:21:37
6,18,2 weeks 6 days ago,22,6,7,slocanvalley,2019-01-25 09:21:37
625,7712,3 years 38 weeks ago,453,10,9,manasota,2019-01-25 09:21:37
30191,209344,1 week 17 hours ago,225,6881,6857,tdn,2019-01-25 09:21:37
380,975,2 days 19 hours ago,18,80,76,cse,2019-01-25 09:21:37
1439,4889,5 days 16 hours ago,58,41,44,communityskillexchange,2019-01-25 09:21:37
68,115,1 day 17 hours ago,92,77,15,richmondcounty,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,northfrontenac,2019-01-25 09:21:37
5,22,3 years 20 weeks ago,11,0,0,katytx,2019-01-25 09:21:37
